,title_list,video_urls,video_IDs,thumbnails
0,How To Build an Autocomplete Component in React ( In Hindi ),https://www.youtube.com/watch?v=r0FdMhMK4E4,r0FdMhMK4E4,http://img.youtube.com/vi/r0FdMhMK4E4/maxresdefault.jpg
1,Create A Digital Clock With React,https://www.youtube.com/watch?v=bb6gFw00Eno,bb6gFw00Eno,http://img.youtube.com/vi/bb6gFw00Eno/maxresdefault.jpg
2,React Sidebar: The Basic Guide ( Hindi ),https://www.youtube.com/watch?v=uiWlIcrg2mM,uiWlIcrg2mM,http://img.youtube.com/vi/uiWlIcrg2mM/maxresdefault.jpg
3,"React Anti-Patterns: Props in Initial State, In Hindi",https://www.youtube.com/watch?v=Mz3_WoxgK74,Mz3_WoxgK74,http://img.youtube.com/vi/Mz3_WoxgK74/maxresdefault.jpg
